wardNumber,name,zone,minLat,maxLat,minLng,maxLng
217,Uttarahalli,Bommanahalli,12.9013436,12.9183268,77.538191,77.5558187
218,Subramanyapura,South,12.8791862,12.9192492,77.5157231,77.5491059
219,Vasanthpura,Bommanahalli,12.875197,12.9093377,77.5439639,77.5643098
220,Yelachenahalli,Bommanahalli,12.8976534,12.908694,77.5600927,77.5734274
221,Konanakunte,Bommanahalli,12.8659284,12.8992404,77.5499668,77.5716942
222,RBI layout,South,12.8822166,12.8972454,77.5688767,77.5917963
223,Chunchaghatta,South,12.8655621,12.8884444,77.5699256,77.5909791
224,Anjanapura,Bommanahalli,12.8389719,12.8838114,77.5443181,77.5803173
225,Gottigere,Bommanahalli,12.8370468,12.8729652,77.5731382,77.5966923
226,Kalena Agrahara,East,12.8334905,12.8864675,77.581993,77.632341
227,Begur,Bommanahalli,12.8511376,12.8927647,77.6186567,77.6575507
228,Naganathapura,South,12.8581624,12.8855757,77.6537401,77.6753249
229,Ibluru,Bommanahalli,12.890999,12.9312812,77.6422297,77.6689328
230,Agara,East,12.9002854,12.9246948,77.6350352,77.6518442
231,Mangammanapalya,Bommanahalli,12.8939068,12.907334,77.6322369,77.6454675
232,HSR - Singasandra,Bommanahalli,12.8689737,12.9176841,77.6226534,77.6577015
233,Rupenaagrahara,Bommanahalli,12.8695355,12.9172952,77.6204243,77.6536094
234,Hongasandra,Bommanahalli,12.8935671,12.9037134,77.6229558,77.634186
235,Bommanahalli,Bommanahalli,12.894014,12.9087672,77.6169539,77.6279735
236,Devarachikkanahalli,Bommanahalli,12.8860979,12.8989928,77.6124127,77.6355095
237,Bilekhalli,Bommanahalli,12.8883505,12.915319,77.5981111,77.6212156
238,Arakere,Bommanahalli,12.8786791,12.8928867,77.5881745,77.6187058
239,Hulimavu,Bommanahalli,12.864655,12.8872775,77.5860831,77.6183164
240,Vinayakanagar,South,12.8890596,12.9086958,77.5818074,77.6094625
241,Puttenahalli - Sarakki Lake,Bommanahalli,12.8917938,12.9055772,77.5745633,77.5889737
242,Jaraganahalli,Bommanahalli,12.8940043,12.9064798,77.5684136,77.5806287
243,Kudlu,Bommanahalli,12.8803801,12.8947887,77.6434812,77.6738291
